#E/N(Td)    energy(eV)
0.1000E-25  0.3770E-01
0.1000E-09  0.3770E-01
0.1000E-06  0.3770E-01
0.1000E-05  0.3770E-01
0.1000E-04  0.3770E-01
0.1000E-03  0.3770E-01
0.1196E-03  0.3770E-01
0.1431E-03  0.3770E-01
0.1711E-03  0.3771E-01
0.2047E-03  0.3772E-01
0.2448E-03  0.3773E-01
0.2928E-03  0.3774E-01
0.3502E-03  0.3776E-01
0.4189E-03  0.3778E-01
0.5011E-03  0.3782E-01
0.5993E-03  0.3787E-01
0.7169E-03  0.3795E-01
0.8574E-03  0.3804E-01
0.1026E-02  0.3818E-01
0.1227E-02  0.3836E-01
0.1467E-02  0.3860E-01
0.1755E-02  0.3892E-01
0.2099E-02  0.3932E-01
0.2511E-02  0.3985E-01
0.3003E-02  0.4051E-01
0.3592E-02  0.4134E-01
0.4297E-02  0.4237E-01
0.5139E-02  0.4362E-01
0.6147E-02  0.4513E-01
0.7352E-02  0.4693E-01
0.8794E-02  0.4905E-01
0.1052E-01  0.5155E-01
0.1258E-01  0.5447E-01
0.1505E-01  0.5787E-01
0.1800E-01  0.6183E-01
0.2153E-01  0.6644E-01
0.2575E-01  0.7176E-01
0.3080E-01  0.7782E-01
0.3684E-01  0.8459E-01
0.4406E-01  0.9196E-01
0.5271E-01  0.9976E-01
0.6304E-01  0.1077    
0.7540E-01  0.1154    
0.9019E-01  0.1226    
0.1079      0.1291    
0.1290      0.1348    
0.1543      0.1400    
0.1846      0.1448    
0.2208      0.1498    
0.2641      0.1552    
0.3159      0.1614    
0.3778      0.1686    
0.4519      0.1772    
0.5405      0.1872    
0.6465      0.1989    
0.7733      0.2126    
0.9250      0.2287    
1.106       0.2483     
1.323       0.2728     
1.583       0.3046     
1.893       0.3469     
2.265       0.4021     
2.709       0.4703     
3.240       0.5477     
3.875       0.6284     
4.635       0.7059     
5.544       0.7759     
6.631       0.8360     
7.931       0.8867     
9.487       0.9286     
11.35       0.9631     
13.57       0.9921     
16.23       1.017     
19.42       1.038     
23.22       1.059     
27.78       1.080     
33.23       1.100     
39.74       1.137     
47.54       1.206     
56.86       1.345     
68.01       1.598     
81.34       1.998     
97.29       2.539     
116.4       3.175     
139.2       3.851     
166.5       4.536     
199.1       5.225     
238.2       5.936     
284.9       6.693     
340.8       7.529     
407.6       8.475     
487.5       9.565     
583.1       10.83     
697.5       12.33     
834.3       14.09     
997.8       16.18     
1194.       18.69     
1428.       21.72     
1708.       25.43     
2042.       30.01     
2443.       35.74     
2922.       42.97     
3495.       52.21     
4180.       64.13     
5000.       79.68     
